Institute,Branch,Rank Category,Category,Gender,Opening Rank,Closing Rank
IIT  Roorkee,Chemical Engineering,AI,OPEN (PwD),Gender-Neutral,199,199
IIT  Guwahati,Electronics and Communication Engineering,AI,ST,Gender-Neutral,204,282
IIT  Bombay,Electrical Engineering,AI,EWS,Female-only ,208,455
IIT  Delhi,Mechanical Engineering,AI,ST,Gender-Neutral,208,310
IIT  Bhilai,Computer Science and Engineering,AI,ST,Gender-Neutral,209,612
IIT  BHU,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,210,279
IIT  Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,212,372
IIT  Guwahati,Computer Science and Engineering,AI,OBC-NCL,Gender-Neutral,212,364
IIT  Delhi,Engineering and Computational Mechanics,AI,ST,Gender-Neutral,214,245
IIT  Delhi,Mathematics and Computing,AI,SC,Female-only ,214,470
IIT  Bombay,Engineering Physics,AI,SC,Gender-Neutral,217,779
IIT  Madras,Artificial Intelligence and Data Analytics,AI,ST,Female-only ,218,218
IIT  Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,220,224
IIT  Gandhinagar,Computer Science and Engineering,AI,EWS,Gender-Neutral,222,264
