Institute,Branch,Rank Category,Category,Gender,Opening Rank,Closing Rank
IIT  BHU,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2087,2255
IIT  (ISM) Dhanbad,Electronics and Communication Engineering,AI,SC,Female-only ,2091,2421
IIT  (ISM) Dhanbad,Mining Engineering,AI,EWS,Gender-Neutral,2094,2282
IIT  Jodhpur,Bio Engineering,AI,EWS,Gender-Neutral,2098,2295
IIT  Indore,Mechanical Engineering,AI,EWS,Female-only ,2103,2509
IIT  Goa,Mathematics and Computing,AI,OBC-NCL,Gender-Neutral,2103,2593
IIT  Jammu,Chemical Engineering,AI,EWS,Gender-Neutral,2104,2376
IIT  Bhubaneswar,Computer Science and Engineering,AI,OBC-NCL,Female-only ,2107,3291
IIT  Madras,Metallurgical and Materials Engineering,AI,EWS,Female-only ,2109,2109
IIT  Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only ,2110,2280
IIT  BHU,Electronics Engineering,AI,OPEN,Gender-Neutral,2110,2826
IIT  Mandi,B.Tech in Materials Science and Engineering,AI,EWS,Gender-Neutral,2113,2174
IIT  Guwahati,Electronics and Communication Engineering,AI,OBC-NCL,Female-only ,2114,2462
IIT  (ISM) Dhanbad,Chemical Engineering,AI,SC,Gender-Neutral,2118,2384
IIT  Jammu,Computer Science and Engineering,AI,EWS,Female-only ,2119,2119
IIT  Patna,"B.Tech (Mechanical Engineering) - MBA (IIM Mumbai) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,SC,Gender-Neutral,2122,2351
IIT  Dharwad,Electronics and Communication Engineering,AI,EWS,Female-only ,2122,2122
IIT  Tirupati,Engineering Physics,AI,EWS,Gender-Neutral,2123,2123
IIT  Mandi,Bio Engineering,AI,EWS,Gender-Neutral,2124,2215
IIT  (ISM) Dhanbad,Electrical Engineering,AI,OBC-NCL,Gender-Neutral,2127,2752
IIT  Delhi,Engineering and Computational Mechanics,AI,OPEN,Female-only ,2128,3381
IIT  Ropar,Metallurgical and Materials Engineering,AI,EWS,Gender-Neutral,2134,2208
IIT  Delhi,Engineering Physics,AI,EWS,Female-only ,2137,2137
IIT  Kanpur,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,2137,3106
IIT  Guwahati,Biosciences and Bioengineering,AI,SC,Gender-Neutral,2139,2616
IIT  Kharagpur,Aerospace Engineering,AI,SC,Female-only ,2141,2606
IIT  Ropar,Engineering Physics,AI,SC,Gender-Neutral,2143,2573
IIT  Patna,Electronics and Communication Engineering,AI,EWS,Female-only ,2145,2145
IIT  Patna,Metallurgical and Materials Engineering,AI,EWS,Gender-Neutral,2146,2216
IIT  Jammu,Computer Science and Engineering,AI,SC,Female-only ,2147,2147
IIT  Ropar,Electrical Engineering,AI,EWS,Female-only ,2150,2438
IIT  Hyderabad,Chemical Engineering,AI,OBC-NCL,Gender-Neutral,2152,2755
IIT  BHU,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Female-only ,2153,2153
IIT  Goa,Computer Science and Engineering,AI,EWS,Female-only ,2155,2155
IIT  Kharagpur,Mechanical Engineering,AI,OPEN,Gender-Neutral,2160,3613
IIT  Patna,Mathematics and Computing,AI,SC,Female-only ,2161,2161
IIT  Indore,Metallurgical Engineering and Materials Science,AI,SC,Gender-Neutral,2163,2597
IIT  Bhubaneswar,Electrical Engineering,AI,OBC-NCL,Gender-Neutral,2167,2876
IIT  (ISM) Dhanbad,Computer Science and Engineering,AI,OPEN,Gender-Neutral,2167,3846
IIT  Kanpur,Civil Engineering,AI,OBC-NCL,Gender-Neutral,2168,2764
IIT  Ropar,Electrical Engineering,AI,SC,Female-only ,2172,2382
IIT  Bhilai,Data Science and Artificial Intelligence,AI,EWS,Female-only ,2172,2172
IIT  Bhilai,Computer Science and Engineering,AI,OBC-NCL,Gender-Neutral,2173,2470
IIT  Kharagpur,Ocean Engineering and Naval Architecture,AI,SC,Gender-Neutral,2174,2357
IIT  Goa,Mechanical Engineering,AI,SC,Gender-Neutral,2175,2427
IIT  (ISM) Dhanbad,Mining Machinery Engineering,AI,EWS,Gender-Neutral,2177,2368
IIT  BHU,Metallurgical Engineering,AI,SC,Gender-Neutral,2177,2477
IIT  Tirupati,Electrical Engineering,AI,OBC-NCL,Gender-Neutral,2177,3389
IIT  Roorkee,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,OBC-NCL,Female-only ,2178,2529
IIT  Roorkee,Electrical Engineering,AI,OBC-NCL,Female-only ,2182,3072
IIT  Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only ,2184,2184
IIT  (ISM) Dhanbad,Environmental Engineering,AI,EWS,Gender-Neutral,2184,2355
IIT  Delhi,Materials Engineering,AI,OBC-NCL,Gender-Neutral,2190,2504
IIT  Guwahati,Engineering Physics,AI,EWS,Female-only ,2192,2192
IIT  Bhubaneswar,Electrical Engineering,AI,EWS,Female-only ,2194,2249
IIT  Patna,Chemical Engineering,AI,SC,Gender-Neutral,2195,2592
IIT  Indore,Mechanical Engineering,AI,OBC-NCL,Gender-Neutral,2198,2993
IIT  Hyderabad,Industrial Chemistry,AI,SC,Gender-Neutral,2199,2370
IIT  Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,2199,2984
IIT  Patna,"B.Tech (Engineering Physics) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,EWS,Gender-Neutral,2199,2199
IIT  Guwahati,Chemical Engineering,AI,EWS,Female-only ,2203,2270
IIT  Hyderabad,Mechanical Engineering,AI,SC,Female-only ,2205,2270
IIT  Madras,Biological Engineering,AI,EWS,Female-only ,2205,2205
IIT  Roorkee,Civil Engineering,AI,OBC-NCL,Gender-Neutral,2210,2899
IIT  Patna,"B. Tech. (ECE) -M. Tech. in VLSI (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",AI,OBC-NCL,Gender-Neutral,2211,2215
IIT  Hyderabad,Artificial Intelligence,AI,OPEN,Female-only ,2214,2840
IIT  Hyderabad,Chemical Engineering,AI,SC,Female-only ,2215,2215
IIT  Patna,"Economics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,2219,2770
IIT  BHU,"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,2222,2254
IIT  Kanpur,Chemical Engineering,AI,OPEN,Gender-Neutral,2227,4015
IIT  Guwahati,Data Science and Artificial Intelligence,AI,OPEN,Female-only ,2228,2748
IIT  Patna,"B.Tech (Mathematics and Computing) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,OBC-NCL,Gender-Neutral,2229,2229
IIT  BHU,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,2229,2363
IIT  Delhi,Energy Engineering,AI,SC,Female-only ,2231,2231
IIT  Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Female-only ,2232,2232
IIT  Delhi,Materials Engineering,AI,EWS,Female-only ,2233,2233
IIT  Jammu,Mathematics and Computing,AI,SC,Female-only ,2239,2750
IIT  Palakkad,Civil Engineering,AI,EWS,Gender-Neutral,2242,2408
IIT  Bombay,Civil Engineering,AI,OPEN,Gender-Neutral,2244,4046
IIT  BHU,Ceramic Engineering,AI,SC,Gender-Neutral,2245,2976
IIT  Palakkad,Electrical Engineering,AI,EWS,Female-only ,2247,2247
IIT  Roorkee,"Geophysical Technology (5 Years, Integrated Master of Technology)",AI,SC,Gender-Neutral,2254,2505
IIT  Ropar,Artificial Intelligence and Data Engineering,AI,OPEN,Gender-Neutral,2254,2656
IIT  BHU,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,2257,2351
IIT  Hyderabad,Civil Engineering,AI,EWS,Female-only ,2260,2260
IIT  Kanpur,Materials Science and Engineering,AI,EWS,Female-only ,2264,2558
IIT  Dharwad,Engineering Physics,AI,EWS,Gender-Neutral,2265,2339
IIT  Delhi,Mechanical Engineering,AI,OBC-NCL,Female-only ,2267,3475
IIT  Guwahati,Chemical Science and Technology,AI,OBC-NCL,Gender-Neutral,2271,3307
IIT  Tirupati,Civil Engineering,AI,EWS,Gender-Neutral,2271,2374
IIT  BHU,Mechanical Engineering,AI,EWS,Female-only ,2275,2594
IIT  (ISM) Dhanbad,Electrical Engineering,AI,EWS,Female-only ,2276,2283
IIT  Mandi,B.Tech in Microelectronics & VLSI,AI,EWS,Female-only ,2281,2281
IIT  Mandi,Electrical Engineering,AI,EWS,Female-only ,2285,2285
IIT  Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,OPEN,Female-only ,2288,3445
IIT  Jodhpur,Chemical Engineering,AI,SC,Gender-Neutral,2292,2688
IIT  Madras,Mechanical Engineering,AI,OBC-NCL,Female-only ,2292,3442
IIT  Patna,"B.Tech (Civil Engineering) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,EWS,Gender-Neutral,2292,2292
IIT  Mandi,Engineering Physics,AI,SC,Gender-Neutral,2298,2631
IIT  Roorkee,Engineering Physics,AI,EWS,Female-only ,2298,2298
IIT  Hyderabad,Biotechnology and Bioinformatics,AI,SC,Gender-Neutral,2300,2324
IIT  Bhubaneswar,Metallurgical and Materials Engineering,AI,EWS,Gender-Neutral,2301,2373
IIT  Roorkee,Energy Engineering,AI,EWS,Female-only ,2302,2302
IIT  Patna,"B. Tech. (ME) - M. Tech. in Mechatronics (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",AI,SC,Gender-Neutral,2303,2303
IIT  Patna,Electrical and Electronics Engineering,AI,EWS,Female-only ,2304,2304
IIT  Dharwad,Chemical and Biochemical Engineering,AI,EWS,Gender-Neutral,2306,2463
IIT  Ropar,Civil Engineering,AI,SC,Gender-Neutral,2309,2419
IIT  Mandi,Civil Engineering,AI,SC,Gender-Neutral,2311,2546
IIT  Jodhpur,Electrical Engineering,AI,OBC-NCL,Gender-Neutral,2316,2972
IIT  Gandhinagar,Artificial Intelligence,AI,OBC-NCL,Female-only ,2317,2534
IIT  Madras,Engineering Physics,AI,OBC-NCL,Female-only ,2319,3046
IIT  Mandi,Electrical Engineering,AI,OBC-NCL,Gender-Neutral,2320,2932
IIT  Kharagpur,Manufacturing Science and Engineering,AI,OBC-NCL,Gender-Neutral,2322,3292
IIT  Tirupati,Mechanical Engineering,AI,SC,Gender-Neutral,2322,2558
IIT  Guwahati,Energy Engineering,AI,OBC-NCL,Gender-Neutral,2328,2802
IIT  Bombay,Engineering Physics,AI,OBC-NCL,Female-only ,2329,2854
IIT  Bhubaneswar,Metallurgical and Materials Engineering,AI,SC,Gender-Neutral,2332,2774
IIT  Bhilai,Electronics and Communication Engineering,AI,EWS,Female-only ,2335,2335
IIT  Bhilai,Materials Science and Metallurgical Engineering,AI,EWS,Gender-Neutral,2338,2378
IIT  Patna,"B.Tech (Metallurgical and Materials Engineering) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,SC,Gender-Neutral,2341,2341
IIT  Guwahati,Chemical Science and Technology,AI,EWS,Female-only ,2349,2349
IIT  Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,2353,2487
IIT  Kharagpur,Civil Engineering,AI,EWS,Female-only ,2357,2478
IIT  Indore,Electrical Engineering,AI,OPEN,Gender-Neutral,2359,3818
IIT  Bhilai,Mechanical Engineering,AI,SC,Gender-Neutral,2360,2609
IIT  Roorkee,Civil Engineering,AI,EWS,Female-only ,2362,2537
IIT  Guwahati,Electronics and Electrical Engineering,AI,OBC-NCL,Female-only ,2364,3045
IIT  (ISM) Dhanbad,Electrical Engineering,AI,SC,Female-only ,2366,2870
IIT  Patna,"B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,2372,2383
IIT  Gandhinagar,Materials Engineering,AI,SC,Gender-Neutral,2374,2741
IIT  Mandi,B.Tech in General Engineering,AI,SC,Gender-Neutral,2375,2569
IIT  Patna,"B. Tech in CE. - M. Tech. in Structural Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",AI,EWS,Gender-Neutral,2375,2375
IIT  Mandi,B.Tech in Microelectronics & VLSI,AI,OBC-NCL,Gender-Neutral,2377,2943
IIT  Kharagpur,Industrial and Systems Engineering,AI,SC,Female-only ,2378,2552
IIT  Bhubaneswar,Civil Engineering,AI,SC,Gender-Neutral,2381,2587
IIT  Patna,"B. Tech in CE. - M. Tech. in Geotechnical Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",AI,EWS,Gender-Neutral,2382,2382
IIT  Indore,Chemical Engineering,AI,EWS,Female-only ,2385,2385
IIT  Bhubaneswar,Computer Science and Engineering,AI,OPEN,Gender-Neutral,2389,3685
IIT  Jammu,Civil Engineering,AI,EWS,Gender-Neutral,2391,2428
IIT  (ISM) Dhanbad,"Applied Geophysics (5 Years, Integrated Master of Technology)",AI,EWS,Gender-Neutral,2392,2502
IIT  Kharagpur,Metallurgical and Materials Engineering,AI,OBC-NCL,Gender-Neutral,2394,3378
IIT  Kharagpur,"Physics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,2394,2664
IIT  Jodhpur,"Physics with Specialization (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,2395,2420
IIT  BHU,Electronics Engineering,AI,OBC-NCL,Female-only ,2395,3268
IIT  Tirupati,Chemical Engineering,AI,SC,Gender-Neutral,2406,2979
IIT  Kharagpur,Manufacturing Science and Engineering,AI,EWS,Female-only ,2407,2407
IIT  Palakkad,Data Science and Engineering,AI,OBC-NCL,Gender-Neutral,2412,2788
IIT  Delhi,Engineering Physics,AI,SC,Female-only ,2413,2766
IIT  Guwahati,Chemical Engineering,AI,OBC-NCL,Gender-Neutral,2413,2630
IIT  Dharwad,Civil and Infrastructure Engineering,AI,EWS,Gender-Neutral,2417,2422
IIT  Delhi,Materials Engineering,AI,OPEN,Gender-Neutral,2422,3797
IIT  Gandhinagar,Computer Science and Engineering,AI,OPEN,Female-only ,2427,4592
IIT  Patna,Civil Engineering,AI,SC,Gender-Neutral,2430,2648
IIT  Patna,Engineering Physics,AI,SC,Gender-Neutral,2433,2806
IIT  (ISM) Dhanbad,"Applied Geology (5 Years, Integrated Master of Technology)",AI,EWS,Gender-Neutral,2434,2459
IIT  Hyderabad,Engineering Physics,AI,OBC-NCL,Gender-Neutral,2435,2856
IIT  BHU,Mining Engineering,AI,SC,Gender-Neutral,2435,2924
IIT  Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,2437,2491
IIT  Tirupati,Electrical Engineering,AI,EWS,Female-only ,2441,2441
IIT  Bhilai,Data Science and Artificial Intelligence,AI,SC,Female-only ,2443,2443
IIT  Jammu,Materials Engineering,AI,EWS,Gender-Neutral,2443,2472
IIT  Guwahati,Chemical Engineering,AI,SC,Female-only ,2450,2736
IIT  Delhi,Production and Industrial Engineering,AI,OPEN,Gender-Neutral,2452,3089
IIT  Madras,Biological Engineering,AI,OBC-NCL,Gender-Neutral,2456,3364
IIT  Roorkee,Engineering Physics,AI,OPEN,Gender-Neutral,2456,3951
IIT  Gandhinagar,Integrated Circuit Design & Technology,AI,OPEN,Gender-Neutral,2458,4349
IIT  Kanpur,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,2460,2667
IIT  Patna,"B.Tech (Chemical Science and Technology) - MBA in Hospital and Health Care Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,EWS,Gender-Neutral,2461,2461
IIT  Bhubaneswar,Mechanical Engineering,AI,SC,Female-only ,2465,3941
IIT  (ISM) Dhanbad,Mineral and Metallurgical Engineering,AI,SC,Gender-Neutral,2466,2960
IIT  Jammu,Mechanical Engineering,AI,SC,Gender-Neutral,2470,2650
IIT  Dharwad,"Interdisciplinary Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,EWS,Gender-Neutral,2473,2524
IIT  Bombay,Chemical Engineering,AI,OBC-NCL,Female-only ,2481,3197
IIT  Bhilai,Data Science and Artificial Intelligence,AI,OBC-NCL,Gender-Neutral,2482,2811
IIT  Palakkad,Electrical Engineering,AI,SC,Female-only ,2488,2488
IIT  Bombay,Aerospace Engineering,AI,OPEN,Female-only ,2494,6360
IIT  Jodhpur,Civil and Infrastructure Engineering,AI,SC,Gender-Neutral,2495,2619
IIT  Hyderabad,Materials Science and Metallurgical Engineering,AI,EWS,Female-only ,2499,2499
IIT  Tirupati,Electrical Engineering,AI,SC,Female-only ,2499,2809
IIT  Roorkee,Production and Industrial Engineering,AI,EWS,Female-only ,2505,2505
IIT  Ropar,Mathematics and Computing,AI,OBC-NCL,Female-only ,2514,2514
IIT  Madras,"Biological Science (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,2517,2778
IIT  Kanpur,Biological Sciences and Bioengineering,AI,EWS,Female-only ,2519,2519
IIT  Patna,Computer Science and Engineering,AI,OBC-NCL,Female-only ,2522,2975
IIT  Patna,"B. Tech in CE. - M. Tech. in Structural Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",AI,SC,Gender-Neutral,2526,2613
IIT  Roorkee,Mechanical Engineering,AI,OPEN,Gender-Neutral,2526,3672
IIT  (ISM) Dhanbad,Mining Machinery Engineering,AI,SC,Gender-Neutral,2534,3102
IIT  Roorkee,Production and Industrial Engineering,AI,OBC-NCL,Gender-Neutral,2540,2936
IIT  Hyderabad,Engineering Science,AI,OBC-NCL,Female-only ,2543,4046
IIT  Delhi,Materials Engineering,AI,SC,Female-only ,2545,2545
IIT  Guwahati,Civil Engineering,AI,EWS,Female-only ,2545,2598
IIT  Roorkee,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,OBC-NCL,Gender-Neutral,2560,4243
IIT  BHU,Computer Science and Engineering,AI,OPEN,Female-only ,2562,4130
IIT  Tirupati,Civil Engineering,AI,SC,Gender-Neutral,2565,2754
IIT  BHU,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only ,2578,2726
IIT  Guwahati,Mathematics and Computing,AI,OPEN,Female-only ,2578,3350
IIT  Goa,Electrical Engineering,AI,EWS,Female-only ,2597,2597
IIT  Kanpur,Materials Science and Engineering,AI,OBC-NCL,Gender-Neutral,2603,3126
IIT  Delhi,Textile Technology,AI,EWS,Female-only ,2604,2605
IIT  Kharagpur,Artificial Intelligence,AI,OPEN,Female-only ,2604,2630
IIT  BHU,Chemical Engineering,AI,EWS,Female-only ,2608,2615
IIT  Jammu,Mathematics and Computing,AI,OBC-NCL,Gender-Neutral,2610,3141
IIT  Dharwad,Mathematics and Computing,AI,OBC-NCL,Gender-Neutral,2613,2819
IIT  Mandi,Bio Engineering,AI,SC,Gender-Neutral,2614,3144
IIT  Madras,Naval Architecture and Ocean Engineering,AI,OBC-NCL,Gender-Neutral,2615,3210
IIT  Kanpur,Electrical Engineering,AI,OPEN,Female-only ,2616,3166
IIT  Roorkee,Biosciences and Bioengineering,AI,EWS,Female-only ,2617,2617
IIT  Patna,"B.Tech (Electrical and Electronics Engineering) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,OBC-NCL,Gender-Neutral,2622,2622
IIT  Dharwad,Civil and Infrastructure Engineering,AI,SC,Gender-Neutral,2627,2856
IIT  Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,2629,3646
IIT  Palakkad,Civil Engineering,AI,SC,Gender-Neutral,2633,2845
IIT  BHU,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2635,3125
IIT  Madras,Chemical Engineering,AI,OBC-NCL,Female-only ,2636,3772
IIT  Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Female-only ,2637,2637
IIT  BHU,"Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2637,2797
IIT  Gandhinagar,Mechanical Engineering,AI,OBC-NCL,Gender-Neutral,2646,3075
IIT  Guwahati,Engineering Physics,AI,OBC-NCL,Gender-Neutral,2648,3222
IIT  Ropar,Metallurgical and Materials Engineering,AI,SC,Gender-Neutral,2652,2662
IIT  Roorkee,Electronics and Communication Engineering,AI,OPEN,Female-only ,2653,3590
IIT  Delhi,Biotechnology and Biochemical Engineering,AI,SC,Female-only ,2663,2673
IIT  Kanpur,"Physics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,2664,3602
IIT  Delhi,Textile Technology,AI,OBC-NCL,Gender-Neutral,2665,3185
IIT  Delhi,Civil Engineering,AI,OPEN,Gender-Neutral,2666,4169
IIT  Patna,"B.Tech (Civil Engineering) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,SC,Gender-Neutral,2668,2668
IIT  Jammu,Materials Engineering,AI,SC,Gender-Neutral,2674,3164
IIT  Delhi,Textile Technology,AI,SC,Female-only ,2677,2889
IIT  Patna,"BS in Economics with MBA (IIM Bodh Gaya) (5 Years, Bachelor of Science and MBA (Dual Degree))",AI,SC,Gender-Neutral,2678,2678
IIT  Kanpur,Civil Engineering,AI,SC,Female-only ,2680,2969
IIT  Patna,"B.Tech (Engineering Physics) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,SC,Gender-Neutral,2684,2684
IIT  BHU,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2686,2954
IIT  Guwahati,Mechanical Engineering,AI,SC,Female-only ,2687,2978
IIT  Indore,Electrical Engineering,AI,OBC-NCL,Female-only ,2688,4056
IIT  Bombay,Metallurgical Engineering and Materials Science,AI,OPEN,Gender-Neutral,2690,4193
IIT  Kharagpur,Metallurgical and Materials Engineering,AI,EWS,Female-only ,2697,2801
IIT  Patna,"B.Tech (Chemical Engineering) - MBA in Hospital and Health Care Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,SC,Gender-Neutral,2697,2697
IIT  Mandi,Computer Science and Engineering,AI,OBC-NCL,Female-only ,2698,3578
IIT  Guwahati,Energy Engineering,AI,SC,Female-only ,2698,2698
IIT  Gandhinagar,Mechanical Engineering,AI,EWS,Female-only ,2705,2705
IIT  Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,2708,3004
IIT  Madras,Naval Architecture and Ocean Engineering,AI,EWS,Female-only ,2710,2807
IIT  Roorkee,Metallurgical and Materials Engineering,AI,EWS,Female-only ,2711,2838
IIT  Kanpur,Aerospace Engineering,AI,OPEN,Gender-Neutral,2713,3638
IIT  Patna,Chemical Science and Technology,AI,SC,Gender-Neutral,2713,3075
IIT  Kharagpur,Aerospace Engineering,AI,OPEN,Gender-Neutral,2716,4745
IIT  Madras,Naval Architecture and Ocean Engineering,AI,SC,Female-only ,2720,3007
IIT  BHU,"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2721,2744
IIT  Dharwad,Electronics and Communication Engineering,AI,SC,Female-only ,2734,2734
IIT  Palakkad,Data Science and Engineering,AI,SC,Female-only ,2742,2742
IIT  Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Female-only ,2744,2744
IIT  Hyderabad,Mechanical Engineering,AI,OBC-NCL,Female-only ,2745,4746
IIT  BHU,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,2746,3138
IIT  BHU,Pharmaceutical Engineering & Technology,AI,SC,Gender-Neutral,2748,3118
IIT  Patna,"B. Tech in CE. - M. Tech. in Geotechnical Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",AI,SC,Gender-Neutral,2753,2753
IIT  Kharagpur,Metallurgical and Materials Engineering,AI,SC,Female-only ,2762,2994
IIT  Dharwad,Electronics and Communication Engineering,AI,OBC-NCL,Gender-Neutral,2762,3368
IIT  Patna,Electrical and Electronics Engineering,AI,SC,Female-only ,2763,2763
IIT  Indore,Civil Engineering,AI,EWS,Female-only ,2775,2775
IIT  Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,2780,3506
IIT  Indore,Chemical Engineering,AI,SC,Female-only ,2786,2786
IIT  Mandi,B.Tech in Materials Science and Engineering,AI,SC,Gender-Neutral,2787,3050
IIT  Jodhpur,Materials Engineering,AI,SC,Gender-Neutral,2790,2950
IIT  (ISM) Dhanbad,"Applied Geophysics (5 Years, Integrated Master of Technology)",AI,SC,Gender-Neutral,2794,2996
IIT  Gandhinagar,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Female-only ,2795,2795
IIT  Dharwad,Mathematics and Computing,AI,SC,Female-only ,2799,2799
IIT  Jodhpur,"Physics with Specialization (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,2817,3182
IIT  Gandhinagar,Materials Engineering,AI,SC,Female-only ,2821,2821
IIT  BHU,Civil Engineering,AI,EWS,Female-only ,2829,2866
IIT  Hyderabad,Civil Engineering,AI,OBC-NCL,Gender-Neutral,2830,3334
IIT  BHU,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only ,2830,2830
IIT  Jammu,Electrical Engineering,AI,EWS,Female-only ,2830,2830
IIT  Roorkee,Energy Engineering,AI,SC,Female-only ,2831,2831
IIT  Gandhinagar,Electrical Engineering,AI,OPEN,Gender-Neutral,2835,4055
IIT  Dharwad,Electrical and Electronics Engineering,AI,EWS,Female-only ,2840,2840
IIT  Jammu,Civil Engineering,AI,SC,Gender-Neutral,2843,3015
IIT  Hyderabad,Materials Science and Metallurgical Engineering,AI,OBC-NCL,Gender-Neutral,2847,3481
IIT  Patna,Metallurgical and Materials Engineering,AI,SC,Gender-Neutral,2848,3071
IIT  Roorkee,Metallurgical and Materials Engineering,AI,OBC-NCL,Gender-Neutral,2849,3349
IIT  BHU,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2850,3054
IIT  BHU,Electrical Engineering,AI,OPEN,Gender-Neutral,2852,3608
IIT  (ISM) Dhanbad,Civil Engineering,AI,SC,Female-only ,2857,4115
IIT  Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only ,2860,3896
IIT  Madras,Mechanical Engineering,AI,OPEN,Female-only ,2868,6678
IIT  Ropar,Chemical Engineering,AI,EWS,Female-only ,2873,2873
IIT  Bombay,Industrial Engineering and Operations Research,AI,OBC-NCL,Female-only ,2881,3817
IIT  Hyderabad,Mathematics and Computing,AI,OPEN,Female-only ,2885,3625
IIT  Patna,"B.Tech (Mechanical Engineering) - MBA (IIM Mumbai) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,OBC-NCL,Gender-Neutral,2889,3250
IIT  Kanpur,"Economics (4 Years, Bachelor of Science)",AI,SC,Female-only ,2897,3401
IIT  Kanpur,"Physics (4 Years, Bachelor of Science)",AI,EWS,Female-only ,2897,2897
